"CÛdigo IBGE;Nome do MunicÌpio;CÛdigo UF;UF;Estado;Latitude;Longitude"
"5200050;Abadia de Goi·s;52;GO;Goi·s;-16,7573;-49,4412"
"3100104;Abadia dos Dourados;31;MG;Minas Gerais;-18,4831;-47,3916"
"5200100;Abadi‚nia;52;GO;Goi·s;-16,197;-48,7057"
"3100203;AbaetÈ;31;MG;Minas Gerais;-19,1551;-45,4444"
"1500107;Abaetetuba;15;PA;Par·;-1,72183;-48,8788"
"2300101;Abaiara;23;CE;Cear·;-7,34588;-39,0416"
"2900108;AbaÌra;29;BA;Bahia;-13,2488;-41,6619"
"2900207;AbarÈ;29;BA;Bahia;-8,72073;-39,1162"
"4100103;Abati·;41;PR;Paran·;-23,3049;-50,3133"
"4200051;Abdon Batista;42;SC;Santa Catarina;-27,6126;-51,0233"
"1500131;Abel Figueiredo;15;PA;Par·;-4,95333;-48,3933"
"4200101;Abelardo Luz;42;SC;Santa Catarina;-26,5716;-52,3229"
"3100302;Abre Campo;31;MG;Minas Gerais;-20,2996;-42,4743"
"2600054;Abreu e Lima;26;PE;Pernambuco;-7,90072;-34,8984"
"1700251;Abreul‚ndia;17;TO;Tocantins;-9,62101;-49,1518"
"3100401;Acaiaca;31;MG;Minas Gerais;-20,359;-43,1439"
"2100055;AÁail‚ndia;21;MA;Maranh„o;-4,94714;-47,5004"
"2900306;Acajutiba;29;BA;Bahia;-11,6575;-38,0197"
"1500206;Acar·;15;PA;Par·;-1,95383;-48,1985"
"2300150;Acarape;23;CE;Cear·;-4,22083;-38,7055"
"2300200;Acara˙;23;CE;Cear·;-2,88769;-40,1183"
"2400109;Acari;24;RN;Rio Grande do Norte;-6,4282;-36,6347"
"2200053;Acau„;22;PI;PiauÌ;-8,21954;-41,0831"
"4300034;Acegu·;43;RS;Rio Grande do Sul;-31,8665;-54,1615"
"2300309;Acopiara;23;CE;Cear·;-6,08911;-39,448"
"5100102;Acorizal;51;MT;Mato Grosso;-15,194;-56,3632"
"1200013;Acrel‚ndia;12;AC;Acre;-9,82581;-66,8972"
"5200134;Acre˙na;52;GO;Goi·s;-17,396;-50,3749"
"3100500;AÁucena;31;MG;Minas Gerais;-19,0671;-42,5419"
